Sort,Isolate Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Virus REFSEQ accession,Genome coverage,Genome composition,Host source,Exemplar GenBank Accession Number,Exemplar virus name,Exemplar isolate designation,Host/Source,Change,source_file,Virus name abbreviation,Proposed Rank,GenBank,submission_year,genome_accn
2415.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Guernseyvirinae,Jerseyvirus,,Jerseyvirus L13,E,Salmonella phage L13,,,KC832325,NC_021317,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_021317
1216.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Herelleviridae,Jasinkavirinae,Pecentumvirus,,Pecentumvirus WIL1,E,Listeria phage WIL-1,,,KM373208,NC_025440,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_025440
1050.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Drexlerviridae,Tempevirinae,Tlsvirus,,Tlsvirus tv36,E,Salmonella phage 36,,,KR296690,NC_029071,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_029071
1081.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Drexlerviridae,Tunavirinae,Tunavirus,,Tunavirus tv008,E,Shigella phage vB_SsoS_008,,,MK335533,NC_048150,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_048150
888.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Casjensviridae,,Yonseivirus,,Yonseivirus soft,E,Klebsiella phage Soft,,,MN106244,NC_048805,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_048805
2381.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Gracegardnervirinae,Cheoctovirus,,Mycobacterium virus Che8,E,Mycobacterium phage Che8,,,AY129330,NC_004680,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_004680
2804.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Aurunvirus,,Aurunvirus STIM5,E,Cyanophage S-TIM5,,,JQ245707,NC_019516,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_019516
3488.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Mapvirus,,Mapvirus muddy,E,Mycobacterium phage Muddy,,,KF024728,NC_022054,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_022054
1195.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Herelleviridae,Brockvirinae,Kochikohdavirus,,Kochikohdavirus ECP3,E,Enterococcus phage ECP3,,,KJ801817,NC_027335,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_027335
1545.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Salasmaviridae,Northropvirinae,Claudivirus,,Claudivirus claudi,E,Bacillus phage Claudi,,,KX349900,NC_031015,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_031015
1853.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Pantevenvirales,,Straboviridae,Tevenvirinae,Tequatrovirus,,Tequatrovirus ufvareg1,E,Escherichia phage UFV-AREG1,,,KX009778,NC_031030,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_031030
1543.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Salasmaviridae,Northropvirinae,Claudivirus,,Claudivirus aurora,E,Bacillus phage Aurora,,,KX349899,NC_031121,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_031121
3907.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Saundersvirus,,Saundersvirus Tp84,E,Geobacillus phage TP-84,,,KY565347,NC_041918,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_041918
2615.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Stephanstirmvirinae,Phapecoctavirus,,Escherichia virus ESCO5,E,Escherichia phage ESCO5,,,KX664695,NC_047776,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_047776
