Train Size,Dataset,Level,Taxon,Training_Leaves_Count,Model_Path,Accuracy,Cross_Val_Accuracy,AUROC,Precision_0,Recall_0,F1_0,Precision_1,Recall_1,F1_1,Average_Precision
5,focal,Family,Ackermannviridae,5,models/Family_bg/Ackermannviridae.pkl,0.9934036939313984,0.9984615384615385,1.0,0.9933333333333333,1.0,0.9966555183946488,1.0,0.6153846153846154,0.761904761904762,1.0
5,focal,Family,Onoviridae,5,models/Family_bg/Onoviridae.pkl,1.0,0.9984615384615385,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,focal,Family,Mesyanzhinovviridae_2,5,models/Family_bg/Mesyanzhinovviridae_2.pkl,0.9973614775725593,0.9938461538461538,1.0,0.9973614775725593,1.0,0.9986789960369881,0.0,0.0,0.0,1.0
5,focal,Family,Mesyanzhinovviridae_1,5,models/Family_bg/Mesyanzhinovviridae_1.pkl,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,focal,Family,Matchlockviridae,5,models/Family_bg/Matchlockviridae.pkl,0.9986807387862797,0.9923076923076923,,0.9986807387862797,1.0,0.9993399339933994,0.0,0.0,0.0,1.0
5,focal,Family,Masamuneviridae,5,models/Family_bg/Masamuneviridae.pkl,1.0,0.9938461538461538,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,focal,Family,Mangonelviridae,5,models/Family_bg/Mangonelviridae.pkl,0.9986807387862797,0.9953846153846154,,0.9986807387862797,1.0,0.9993399339933994,0.0,0.0,0.0,1.0
5,focal,Family,Mambeleviridae,5,models/Family_bg/Mambeleviridae.pkl,1.0,0.9984615384615385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,focal,Family,Makriggaviridae,5,models/Family_bg/Makriggaviridae.pkl,1.0,0.9953846153846154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,focal,Family,Macheteviridae,5,models/Family_bg/Macheteviridae.pkl,0.9986807387862797,0.9953846153846154,,0.9986807387862797,1.0,0.9993399339933994,0.0,0.0,0.0,1.0
5,focal,Family,Lassoviridae,5,models/Family_bg/Lassoviridae.pkl,0.9986807387862797,1.0,,0.9986807387862797,1.0,0.9993399339933994,0.0,0.0,0.0,1.0
5,focal,Family,Laevateinnviridae,5,models/Family_bg/Laevateinnviridae.pkl,0.9986807387862797,0.9923076923076923,,0.9986807387862797,1.0,0.9993399339933994,0.0,0.0,0.0,1.0
5,focal,Family,Labrysviridae,5,models/Family_bg/Labrysviridae.pkl,1.0,0.9969230769230769,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,focal,Family,Kyanoviridae,5,models/Family_bg/Kyanoviridae.pkl,0.9934036939313984,0.9953846153846154,1.0,0.9933244325767691,1.0,0.9966510381781648,1.0,0.6428571428571429,0.782608695652174,1.0
5,focal,Family,Kusanagiviridae,5,models/Family_bg/Kusanagiviridae.pkl,1.0,0.9984615384615385,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,focal,Family,Kukriviridae,5,models/Family_bg/Kukriviridae.pkl,0.9986807387862797,0.9984615384615385,1.0,0.9986789960369881,1.0,0.9993390614672836,1.0,0.5,0.6666666666666666,1.0
5,focal,Family,Krisviridae,5,models/Family_bg/Krisviridae.pkl,0.9986807387862797,0.9923076923076923,,0.9986807387862797,1.0,0.9993399339933994,0.0,0.0,0.0,1.0
5,focal,Family,Kpingaviridae,5,models/Family_bg/Kpingaviridae.pkl,1.0,0.9984615384615385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,focal,Family,Kilijviridae,5,models/Family_bg/Kilijviridae.pkl,1.0,0.9984615384615385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
