METADATA

SEPARATOR COMMA
FIELD_LABELS,Class,Order,Family,Subfamily,Genus,Species,Virus name(s)
DATA
NC_021317,Caudoviricetes,,,Guernseyvirinae,Jerseyvirus,Jerseyvirus L13,Salmonella phage L13
NC_025440,Caudoviricetes,,Herelleviridae,Jasinkavirinae,Pecentumvirus,Pecentumvirus WIL1,Listeria phage WIL-1
NC_029071,Caudoviricetes,,Drexlerviridae,Tempevirinae,Tlsvirus,Tlsvirus tv36,Salmonella phage 36
NC_048150,Caudoviricetes,,Drexlerviridae,Tunavirinae,Tunavirus,Tunavirus tv008,Shigella phage vB_SsoS_008
NC_048805,Caudoviricetes,,Casjensviridae,,Yonseivirus,Yonseivirus soft,Klebsiella phage Soft
NC_004680,Caudoviricetes,,,Gracegardnervirinae,Cheoctovirus,Mycobacterium virus Che8,Mycobacterium phage Che8
NC_019516,Caudoviricetes,,,,Aurunvirus,Aurunvirus STIM5,Cyanophage S-TIM5
NC_022054,Caudoviricetes,,,,Mapvirus,Mapvirus muddy,Mycobacterium phage Muddy
NC_027335,Caudoviricetes,,Herelleviridae,Brockvirinae,Kochikohdavirus,Kochikohdavirus ECP3,Enterococcus phage ECP3
NC_031015,Caudoviricetes,,Salasmaviridae,Northropvirinae,Claudivirus,Claudivirus claudi,Bacillus phage Claudi
NC_031030,Caudoviricetes,Pantevenvirales,Straboviridae,Tevenvirinae,Tequatrovirus,Tequatrovirus ufvareg1,Escherichia phage UFV-AREG1
NC_031121,Caudoviricetes,,Salasmaviridae,Northropvirinae,Claudivirus,Claudivirus aurora,Bacillus phage Aurora
NC_041918,Caudoviricetes,,,,Saundersvirus,Saundersvirus Tp84,Geobacillus phage TP-84
NC_047776,Caudoviricetes,,,Stephanstirmvirinae,Phapecoctavirus,Escherichia virus ESCO5,Escherichia phage ESCO5
NC_055917,Caudoviricetes,,Salasmaviridae,,Bundooravirus,Bundooravirus whyphy,Bacillus phage WhyPhy
NC_060131,Caudoviricetes,,,Deeyouvirinae,Nevillevirus,Nevillevirus neville,Gordonia phage Neville
