METADATA

SEPARATOR COMMA
FIELD_LABELS,Order,Family,Subfamily,Genus
DATA
NC_054998,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_2
NC_001629,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_3
NC_054990,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_3
NC_001706,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_2
NC_055018,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_2
NC_054995,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_2
NC_055007,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_2
NC_054994,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_054992,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_2
NC_055014,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_5
NC_054993,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_4
NC_031075,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_055010,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_2
NC_031071,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_031009,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_055009,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_055004,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_054997,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_054996,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_055006,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_055001,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_055013,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_054991,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_055017,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_055008,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_055012,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_055016,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_055003,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_055000,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_055005,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_055015,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_054999,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_055002,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_055011,Bolasvirales,Bolasviridae,Titaniavirinae,Ceduovirus_1
NC_029118,Bolasvirales,Bolasviridae,Pulivirinae,Chertseyvirus
NC_041908,Kestrosvirales,Kestrosviridae,Majritivirinae,Kleczkowskavirus
NC_048863,Kestrosvirales,Kestrosviridae,Majritivirinae,Rosemountvirus
NC_048864,Kestrosvirales,Kestrosviridae,Majritivirinae,Rosemountvirus
NC_048763,Kestrosvirales,Kestrosviridae,Majritivirinae,Rosemountvirus
NC_048649,Kestrosvirales,Kestrosviridae,Majritivirinae,Rosemountvirus
NC_031250,Kestrosvirales,Kestrosviridae,Majritivirinae,Rosemountvirus
NC_048179,Kestrosvirales,Kestrosviridae,Majritivirinae,Rosemountvirus
NC_048092,Sarissavirales,Sarissaviridae,Poltergeistvirinae,Bridgettevirus
NC_048091,Sarissavirales,Sarissaviridae,Poltergeistvirinae,Bridgettevirus
NC_054989,Sarissavirales,Sarissaviridae,Poltergeistvirinae,Agmunavirus
NC_048095,Sarissavirales,Sarissaviridae,Poltergeistvirinae,Bridgettevirus
