LABELS
SEPARATOR COMMA

DATA
NC_021317,NC_021317_Jerseyvirus L13
NC_025440,NC_025440_Pecentumvirus WIL1
NC_029071,NC_029071_Tlsvirus tv36
NC_048150,NC_048150_Tunavirus tv008
NC_048805,NC_048805_Yonseivirus soft
NC_004680,NC_004680_Mycobacterium virus Che8
NC_019516,NC_019516_Aurunvirus STIM5
NC_022054,NC_022054_Mapvirus muddy
NC_027335,NC_027335_Kochikohdavirus ECP3
NC_031015,NC_031015_Claudivirus claudi
NC_031030,NC_031030_Tequatrovirus ufvareg1
NC_031121,NC_031121_Claudivirus aurora
NC_041918,NC_041918_Saundersvirus Tp84
NC_047776,NC_047776_Escherichia virus ESCO5
NC_055917,NC_055917_Bundooravirus whyphy
NC_060131,NC_060131_Nevillevirus neville
NC_060132,NC_060132_Nevillevirus trax
NC_060133,NC_060133_Nevillevirus rabbitrun
NC_060134,NC_060134_Octobienvirus octobien14
NC_060135,NC_060135_Octobienvirus sephiroth
NC_060136,NC_060136_Octobienvirus kudefre
NC_060137,NC_060137_Octobienvirus syleon
NC_061418,NC_061418_Siatvirus Lz245
NC_061421,NC_061421_Maaswegvirus Kp24
NC_061432,NC_061432_Casadabanvirus R24
NC_061433,NC_061433_Casadabanvirus spike
NC_061434,NC_061434_Casadabanvirus R960
NC_061435,NC_061435_Casadabanvirus JBD26
NC_061436,NC_061436_Casadabanvirus AIIMSPaB1
NC_061437,NC_061437_Casadabanvirus HW12
NC_061438,NC_061438_Casadabanvirus FET309
NC_061439,NC_061439_Casadabanvirus PfII40a
NC_061440,NC_061440_Alexandravirus SNUABM22
NC_061441,NC_061441_Alexandravirus SNUABM16
NC_061442,NC_061442_Alexandravirus SNUABM35
NC_061443,NC_061443_Alexandravirus SNUABM2
NC_061444,NC_061444_Alexandravirus SNUABM32
NC_061445,NC_061445_Alexandravirus SNUABM3
NC_061446,NC_061446_Alexandravirus SNUABM30
NC_061447,NC_061447_Alexandravirus SNUABM33
NC_061448,NC_061448_Alexandravirus SNUABM1
NC_061449,NC_061449_Alexandravirus SNUABM17
NC_061450,NC_061450_Rivsvirus SNUABM5
NC_061451,NC_061451_Snuvirus SNUABM7
NC_062581,NC_062581_Tepukevirus Psa21
NC_062582,NC_062582_Phabiovirus phabio
NC_062734,NC_062734_Lowelvirus tuscon4d
NC_062735,NC_062735_Potamoivirus tusconj
NC_062736,NC_062736_Chalconvirus acg2014e
NC_062741,NC_062741_Elemovirus elemoB
NC_062742,NC_062742_Phapecoctavirus TSP7
NC_062743,NC_062743_Elemovirus elemoC
NC_062744,NC_062744_Callevirus Calle
NC_062745,NC_062745_Freyavirus danklef
NC_062746,NC_062746_Freyavirus freya
NC_062747,NC_062747_Gundelvirus Gundel
NC_062748,NC_062748_Harrekavirus harreka
NC_062749,NC_062749_Ingelinevirus ingeline
NC_062750,NC_062750_Leefvirus Leef
NC_062751,NC_062751_Mollyvirus molly
NC_062752,NC_062752_Mollyvirus colly
NC_062753,NC_062753_Nekkelsvirus Nekkels
NC_062754,NC_062754_Peternellavirus peternella
NC_062764,NC_062764_Diorhovirus copri
NC_062765,NC_062765_Cohcovirus splanchnicus
NC_062766,NC_062766_Delmidovirus copri
NC_062767,NC_062767_Culoivirus faecalis
NC_062768,NC_062768_Kolpuevirus coli
NC_062769,NC_062769_Jahgtovirus gastrointestinalis
NC_062770,NC_062770_Drivevirus gastrointestinalis
NC_062771,NC_062771_Carjivirus hominis
NC_062772,NC_062772_Canhaevirus faecalis
NC_062773,NC_062773_Kahnovirus copri
NC_062774,NC_062774_Jahgtovirus intestinalis
NC_062776,NC_062776_Dabirmavirus hominis
NC_062777,NC_062777_Junduvirus copri
NC_062778,NC_062778_Endlipuvirus intestinihominis
NC_062779,NC_062779_Junduvirus communis
NC_062780,NC_062780_Kingevirus communis
NC_067194,NC_067194_Carjivirus communis
NC_067209,NC_067209_Bohxovirus oralis
NC_067210,NC_067210_Afonbuvirus intestinihominis
NC_067211,NC_067211_Buchavirus intestinalis
NC_067212,NC_067212_Birpovirus hominis
NC_067213,NC_067213_Blohavirus faecalis
NC_067214,NC_067214_Buchavirus oralis
NC_067215,NC_067215_Burzaovirus intestinihominis
NC_067216,NC_067216_Buchavirus hiberniae
NC_067217,NC_067217_Afonbuvirus coli
NC_067218,NC_067218_Aurodevirus hiberniae
NC_067270,NC_067270_Bixzunavirus I3
NC_068555,NC_068555_Efbeekayvirus Fbkp27
NC_070650,NC_070650_Eowynvirus eowyn
NC_070651,NC_070651_Moineauvirus mv128
