0,1,2,3,4,5,6,7,8,9,10,11,12
Spe,"""Hope"" (Latin)",14 Andromedae,4.8,,185.84,0.83,radial vel.,2008.0,249.2,2.2,4813.0,2015 NameExoWorlds
Arion,Ancient Greek poet,18 Delphini,10.3,,993.3,2.6,radial vel.,2008.0,238.0,2.3,4979.0,2015 NameExoWorlds
Arkas,Son of Zeus and Callisto in Greek myth,41 Lyncis,2.7,,184.02,0.81,radial vel.,2007.0,287.9,2.1,4753.0,2015 NameExoWorlds
Orbitar,Neologism,42 Draconis,3.88,,479.1,1.19,radial vel.,2008.0,317.3,0.98,4200.0,2015 NameExoWorlds
Taphao Thong,Thai folktale character,47 Ursae Majoris,2.53,,1078.0,2.1,radial vel.,1996.0,45.9,1.03,5892.0,2015 NameExoWorlds
Taphao Kaew,,(Chalawan),0.54,,2391.0,3.6,radial vel.,2001.0,,,,2015 NameExoWorlds
Dimidium,"""Half"" (Latin)",51 Pegasi,0.472,,4.230785,0.0527,radial vel.,1995.0,50.1,1.12,5793.0,First exoplanet discovered orbiting a main-sequence star
Galileo,Italian astronomer,55 Cancri A,0.8306,,14.65152,0.115227,radial vel.,1996.0,40.9,0.91,5196.0,2015 NameExoWorlds
Brahe,Danish astronomer,,0.1714,,44.4175,0.241376,radial vel.,2004.0,,,,2015 NameExoWorlds
Lipperhey,Dutch lensmaker,(Copernicus),3.878,,4825.0,5.503,radial vel.,2002.0,,,,2015 NameExoWorlds
Janssen,Dutch astronomer,,0.02542,0.17,0.736539,0.01544,radial vel.,2004.0,,,,2015 NameExoWorlds
Harriot,English astronomer,,0.141,,262.0,0.788,radial vel.,2007.0,,,,2015 NameExoWorlds
Ægir,God of the sea in Norse mythology,Epsilon Eridani,1.55,,2502.0,3.39,radial vel.,2000.0,10.5,0.83,,2015 NameExoWorlds
Amateru,"Amaterasu, Japanese sun goddess",Epsilon Tauri,7.6,,594.9,1.93,radial vel.,2006.0,155.0,2.7,4901.0,2015 NameExoWorlds
Dagon,Fertility god of Levantine mythology,Fomalhaut A,,,555530.0,160.0,imaging,2008.0,25.1,2.0,,2015 NameExoWorlds
Tadmor,Ancient Palmyrene and modern Arabic name for Palmyra,Gamma Cephei A,1.85,,903.3,2.05,radial vel.,2003.0,45.0,1.4,,2015 NameExoWorlds
Meztli,Aztec god of the night and moon,HD 104985,6.33,,199.505,0.95,radial vel.,2003.0,332.8,1.6,4786.0,2015 NameExoWorlds
Smertrios,"Gallic deity, sometimes equated with Roman Mars",HD 149026,0.368,0.813,2.8758911,,radial vel.,2005.0,257.2,1.34,6160.0,2015 NameExoWorlds
Hypatia,Female Greek astronomer and philosopher,Iota Draconis (Edasich),8.82,,511.098,1.275,radial vel.,2002.0,102.2,1.05,4530.0,2015 NameExoWorlds
Quijote,Characters from Don Quixote,Mu Arae,1.676,,643.25,1.497,radial vel.,2000.0,49.8,1.08,5807.0,2015 NameExoWorlds
Dulcinea,,,0.03321,,4205.8,5.235,radial vel.,2004.0,,,,2015 NameExoWorlds
Rocinante,,(Cervantes),0.5219,,9.6386,0.09094,radial vel.,2004.0,,,,2015 NameExoWorlds
Sancho,,,1.814,,310.55,0.921,radial vel.,2006.0,,,,2015 NameExoWorlds
Thestias,Greek myth,Pollux,2.3,,589.64,1.64,radial vel.,2006.0,33.7,2.1,4946.0,2015 NameExoWorlds
Saffar,Muslim astronomer,Upsilon Andromedae,0.6876,,4.617033,0.059222,radial vel.,1996.0,43.9,1.3,,2015 NameExoWorlds
Samh,Muslim astronomer,,1.981,,241.258,0.827774,radial vel.,1999.0,,,,2015 NameExoWorlds
Majriti,Muslim astronomer,(Titawin),10.25,,1276.46,2.51329,radial vel.,1999.0,,,,2015 NameExoWorlds
Fortitudo,"""Fortitude"" (Latin)",Xi Aquilae,2.8,,136.75,0.68,radial vel.,2007.0,204.4,2.2,4780.0,2015 NameExoWorlds
Draugr,Norse myth,PSR B1257+12,6.29×10−5,,25.262,0.19,timing,1994.0,2300.0,1.4,28856.0,2015 NameExoWorlds
Poltergeist,"""noisy ghost"" (in German)",,0.0135,,66.5419,0.36,timing,1992.0,,,,2015 NameExoWorlds
Phobetor,Greek myth,(Lich),0.0123,,98.2114,0.46,timing,1992.0,,,,2015 NameExoWorlds
Arber,Name for inhabitants of Albania during the Middle Ages,HD 82886,1.3,,705.0,1.65,radial vel.,2011.0,407.7,2.53,4953.0,2019 NameExoWorlds
Tassili,Tassili n'Ajjer UNESCO World Heritage Site,HD 28678,1.7,,387.1,1.24,radial vel.,2011.0,622.7,1.74,5076.0,2019 NameExoWorlds
Madriu,Madriu-Perafita-Claror Valley UNESCO World Heritage Site,HD 131496,2.2,,883.0,2.09,radial vel.,2011.0,358.8,1.61,4927.0,2019 NameExoWorlds
Naqaỹa,"""brother-family-relative"" in the Mocoví language",HD 48265,1.16,,700.0,1.51,radial vel.,2008.0,285.0,0.93,,2019 NameExoWorlds
