Rank,Taxa,Num Members,LCA Size,Monophyletic,Precision
Family,Herelleviridae,115,115,True,1.0
Family,Fredfastierviridae,2,2,True,1.0
Family,Peduoviridae,101,101,True,1.0
Family,Kleczkowskaviridae,2,2,True,1.0
Family,Drexlerviridae,113,113,True,1.0
Family,Graaviviridae,2,2,True,1.0
Family,Haloferuviridae,3,3,True,1.0
Family,Druskaviridae,2,2,True,1.0
Family,Hafunaviridae,10,10,True,1.0
Family,Madridviridae,2,2,True,1.0
Family,Chaseviridae,15,15,True,1.0
Family,Orlajensenviridae,11,11,True,1.0
Family,Saffermanviridae,4,4,True,1.0
Family,Saparoviridae,2,2,True,1.0
Family,Vertoviridae,3,3,True,1.0
Family,Zierdtviridae,26,26,True,1.0
Family,Ekchuahviridae,2,2,True,1.0
Family,Lakviridae,3,3,True,1.0
Family,Pootjesviridae,11,11,True,1.0
Family,Demerecviridae,100,100,True,1.0
Family,Stanwilliamsviridae,27,27,True,1.0
Family,Steigviridae,15,15,True,1.0
Family,Pervagoviridae,2,2,True,1.0
Family,Molycolviridae,2,2,True,1.0
Family,Assiduviridae,3,3,True,1.0
Family,Forsetiviridae,2,2,True,1.0
Family,Suoliviridae,36,36,True,1.0
Family,Intestiviridae,18,18,True,1.0
Family,Crevaviridae,4,4,True,1.0
Family,Schitoviridae,106,106,True,1.0
Family,Ackermannviridae,63,64,False,0.984
Family,Straboviridae,208,212,False,0.981
Family,Casjensviridae,50,51,False,0.98
Family,Aliceevansviridae,126,133,False,0.947
Family,Autosignataviridae,34,36,False,0.944
Family,Kyanoviridae,66,70,False,0.943
Family,Autotranscriptaviridae,146,164,False,0.89
Family,Duneviridae,6,7,False,0.857
Family,Vilmaviridae,27,34,False,0.794
Family,Autoscriptoviridae,94,138,False,0.681
Family,Rountreeviridae,38,73,False,0.521
Family,Yangangviridae,3,8,False,0.375
Family,Salasmaviridae,31,88,False,0.352
Family,Grimontviridae,10,35,False,0.286
Family,Autonotataviridae,39,142,False,0.275
Family,Usuviridae,2,8,False,0.25
Family,Guelinviridae,10,58,False,0.172
Family,Autographiviridae,30,368,False,0.082
Family,Unassigned,25,368,False,0.068
Family,Chimalliviridae,33,574,False,0.057
Family,Verdandiviridae,3,104,False,0.029
Family,Zobellviridae,11,425,False,0.026
Family,Mesyanzhinovviridae,19,1240,False,0.015
Family,Pachyviridae,5,621,False,0.008
Family,Winoviridae,3,4083,False,0.001
Order,Nakonvirales,3,3,True,1.0
Order,Grandevirales,4,4,True,1.0
Order,Crassvirales,73,75,False,0.973
Order,Pantevenvirales,337,355,False,0.949
Order,Autographivirales,338,368,False,0.918
Order,Methanobavirales,7,228,False,0.031
Order,Thumleimavirales,14,813,False,0.017
Order,Kirjokansivirales,7,619,False,0.011
Order,Magrovirales,3,1058,False,0.003
Order,Juravirales,4,3111,False,0.001
Subfamily,Guernseyvirinae,20,20,True,1.0
Subfamily,Eucampyvirinae,8,8,True,1.0
Subfamily,Dolichocephalovirinae,8,8,True,1.0
Subfamily,Deejayvirinae,10,10,True,1.0
Subfamily,Dclasvirinae,2,2,True,1.0
Subfamily,Chebruvirinae,4,4,True,1.0
Subfamily,Bronfenbrennervirinae,24,24,True,1.0
Subfamily,Beephvirinae,5,5,True,1.0
Subfamily,Andrewesvirinae,3,3,True,1.0
Subfamily,Cobavirinae,4,4,True,1.0
Subfamily,Toshachvirinae,6,6,True,1.0
Subfamily,Emilbogenvirinae,20,20,True,1.0
Subfamily,Mclasvirinae,6,6,True,1.0
Subfamily,Lclasvirinae,19,19,True,1.0
Subfamily,Twarogvirinae,13,13,True,1.0
Subfamily,Emmerichvirinae,4,4,True,1.0
Subfamily,Rothmandenesvirinae,8,8,True,1.0
Subfamily,Erskinevirinae,3,3,True,1.0
Subfamily,Tatarstanvirinae,3,3,True,1.0
Subfamily,Picovirinae,7,7,True,1.0
Subfamily,Rabinowitzvirinae,9,9,True,1.0
Subfamily,Twortvirinae,35,35,True,1.0
Subfamily,Spounavirinae,5,5,True,1.0
Subfamily,Eekayvirinae,4,4,True,1.0
Subfamily,Gclasvirinae,15,15,True,1.0
Subfamily,Mccorquodalevirinae,2,2,True,1.0
Subfamily,Gorskivirinae,4,4,True,1.0
Subfamily,Stentvirinae,3,3,True,1.0
Subfamily,Okabevirinae,2,2,True,1.0
Subfamily,Colwellvirinae,12,12,True,1.0
Subfamily,Quingentivirinae,2,2,True,1.0
Subfamily,Weiservirinae,62,62,True,1.0
Subfamily,Vequintavirinae,26,26,True,1.0
Subfamily,Tybeckvirinae,9,9,True,1.0
Subfamily,Trabyvirinae,3,3,True,1.0
Subfamily,Skurskavirinae,11,11,True,1.0
