cluster	member	super_RMSD	aligned_atoms	notes
YP_009290988.1	YP_009290988.1	0.0	5713	
YP_009290988.1	DBA35425.1	4.809	902	
YP_009290988.1	NP_043506.1	2.206	552	
YP_009290988.1	NP_049406.1	4.985	1241	
YP_009290988.1	NP_049861.1	15.104	1236	
YP_009290988.1	NP_050648.1	3.21	1251	
YP_009290988.1	NP_061522.1	33.936	2119	Low atoms or high RMSD: 2119, 33.94
YP_009290988.1	NP_061643.1	7.645	1385	
YP_009290988.1	NP_536671.1	2.473	572	
YP_009290988.1	NP_536842.1	26.942	936	Low atoms or high RMSD: 936, 26.94
YP_009290988.1	NP_569759.1	2.295	606	
YP_009290988.1	NP_640315.1	3.847	674	
YP_009290988.1	NP_680496.1	3.367	1305	
YP_009290988.1	NP_705664.1	16.962	966	
YP_009290988.1	NP_758937.1	3.946	1126	
YP_009290988.1	NP_817354.1	5.614	1289	
YP_009290988.1	NP_817474.1	6.509	1260	
YP_009290988.1	NP_817476.1	2.862	613	
YP_009290988.1	NP_817792.1	4.868	1287	
YP_009290988.1	NP_817793.1	11.099	616	
YP_009290988.1	NP_817910.1	6.646	1306	
YP_009290988.1	NP_818206.1	3.138	848	
YP_009290988.1	NP_818574.1	3.189	572	
YP_009290988.1	NP_839876.1	3.114	1220	
YP_009290988.1	NP_861666.1	3.818	811	
YP_009290988.1	NP_861942.1	10.626	546	
YP_009290988.1	NP_891820.1	2.851	506	
YP_009290988.1	NP_899580.1	3.654	1282	
YP_009290988.1	NP_943808.1	4.497	1191	
YP_009290988.1	NP_943809.1	2.724	589	
YP_009290988.1	NP_944212.1	11.899	541	
YP_009290988.1	NP_944349.1	17.774	964	
YP_009290988.1	NP_944910.1	4.629	1081	
YP_009290988.1	NP_958144.1	17.595	982	
YP_009290988.1	NP_958290.1	3.596	616	
YP_009290988.1	NP_958291.1	1.783	1305	
YP_009290988.1	UVF62230.1	2.088	587	
YP_009290988.1	UVF62449.1	3.226	503	
YP_009290988.1	XCD08697.1	5.114	575	
YP_009290988.1	XHH73078.1	4.0	1263	
YP_009290988.1	YP_001004386.1	3.931	1160	
YP_009290988.1	YP_001039785.1	15.648	1267	
YP_009290988.1	YP_001039846.1	3.867	1222	
YP_009290988.1	YP_001110740.1	5.238	1341	
YP_009290988.1	YP_001110803.2	31.161	1815	Low atoms or high RMSD: 1815, 31.16
YP_009290988.1	YP_001111221.1	3.394	1119	
YP_009290988.1	YP_001285592.1	6.885	1330	
YP_009290988.1	YP_001285670.1	24.758	648	Low atoms or high RMSD: 648, 24.76
YP_009290988.1	YP_001294456.1	20.587	441	Low atoms or high RMSD: 441, 20.59
YP_009290988.1	YP_001294876.1	17.775	962	
YP_009290988.1	YP_001449309.1	29.401	1988	Low atoms or high RMSD: 1988, 29.40
YP_009290988.1	YP_001469249.1	5.446	1339	
YP_009290988.1	YP_001469592.1	3.651	536	
YP_009290988.1	YP_001595370.1	3.551	481	
YP_009290988.1	YP_001595458.1	2.329	549	
YP_009290988.1	YP_001686761.1	3.485	1181	
YP_009290988.1	YP_001742075.1	33.754	2014	Low atoms or high RMSD: 2014, 33.75
YP_009290988.1	YP_001837072.1	29.815	2356	Low atoms or high RMSD: 2356, 29.81
YP_009290988.1	YP_001950049.2	2.805	525	
YP_009290988.1	YP_001950080.1	4.522	1122	
YP_009290988.1	YP_002003548.1	2.991	629	
YP_009290988.1	YP_002003781.1	4.649	634	
YP_009290988.1	YP_002003864.1	5.179	1244	
YP_009290988.1	YP_002014233.1	5.557	1303	
YP_009290988.1	YP_002014345.1	6.517	1251	
YP_009290988.1	YP_002014347.1	4.656	691	
YP_009290988.1	YP_002014492.1	6.003	1259	
YP_009290988.1	YP_002014494.1	4.693	694	
YP_009290988.1	YP_002117683.1	3.638	1313	
YP_009290988.1	YP_002128492.1	4.185	954	
YP_009290988.1	YP_002154182.1	21.1	436	Low atoms or high RMSD: 436, 21.10
YP_009290988.1	YP_002154273.1	21.433	441	Low atoms or high RMSD: 441, 21.43
YP_009290988.1	YP_002225043.1	2.572	781	
YP_009290988.1	YP_002225049.1	2.608	550	
YP_009290988.1	YP_002241600.1	5.886	1286	
YP_009290988.1	YP_002241602.1	1.942	579	
YP_009290988.1	YP_002241701.1	5.446	1339	
YP_009290988.1	YP_002241804.1	5.313	1325	
YP_009290988.1	YP_002242002.1	5.322	1265	
YP_009290988.1	YP_002242004.1	1.63	538	
YP_009290988.1	YP_002274281.1	29.687	2002	Low atoms or high RMSD: 2002, 29.69
YP_009290988.1	YP_002290895.1	5.746	1285	
YP_009290988.1	YP_002364348.1	21.433	441	Low atoms or high RMSD: 441, 21.43
YP_009290988.1	YP_002418847.1	21.433	441	Low atoms or high RMSD: 441, 21.43
YP_009290988.1	YP_002455970.1	20.591	441	Low atoms or high RMSD: 441, 20.59
YP_009290988.1	YP_002456086.1	2.571	595	
YP_009290988.1	YP_002875743.1	4.688	1276	
YP_009290988.1	YP_002922324.1	3.228	578	
YP_009290988.1	YP_002922588.1	3.204	364	
YP_009290988.1	YP_002922859.1	3.586	1054	
YP_009290988.1	YP_002925112.1	4.133	1381	
YP_009290988.1	YP_002939724.1	7.892	1392	
YP_009290988.1	YP_003347620.1	4.004	1160	
YP_009290988.1	YP_003359124.1	21.417	1157	Low atoms or high RMSD: 1157, 21.42
YP_009290988.1	YP_003495157.1	5.446	1339	
YP_009290988.1	YP_003580108.1	20.187	1327	Low atoms or high RMSD: 1327, 20.19
YP_009290988.1	YP_003734383.1	2.131	382	
YP_009290988.1	YP_003856905.1	2.428	641	
YP_009290988.1	YP_003856999.1	2.401	637	
YP_009290988.1	YP_003857149.1	5.373	1258	
YP_009290988.1	YP_003857151.1	1.94	518	
YP_009290988.1	YP_003858557.1	2.044	537	
YP_009290988.1	YP_003934884.1	11.794	615	
YP_009290988.1	YP_003969621.1	3.782	1168	
YP_009290988.1	YP_004009812.1	4.642	1320	
YP_009290988.1	YP_004009848.1	12.151	474	
YP_009290988.1	YP_004010113.1	17.383	1331	
YP_009290988.1	YP_004063944.1	12.585	560	
YP_009290988.1	YP_004123839.1	5.446	1339	
YP_009290988.1	YP_004251017.1	3.287	712	
YP_009290988.1	YP_004300948.1	3.739	1154	
YP_009290988.1	YP_004306288.1	4.09	718	
YP_009290988.1	YP_004306609.1	30.272	2387	Low atoms or high RMSD: 2387, 30.27
YP_009290988.1	YP_004306769.1	1.827	547	
YP_009290988.1	YP_004322172.1	5.296	1201	
YP_009290988.1	YP_004323393.1	4.15	1273	
YP_009290988.1	YP_004327214.1	2.818	938	
YP_009290988.1	YP_004414721.1	6.789	1332	
YP_009290988.1	YP_004414767.1	6.646	1341	
YP_009290988.1	YP_004415138.1	19.567	678	
YP_009290988.1	YP_004893860.1	3.46	991	
YP_009290988.1	YP_004934216.1	2.407	540	
YP_009290988.1	YP_004934217.1	4.415	1280	
YP_009290988.1	YP_004934722.1	6.898	2868	
YP_009290988.1	YP_004934723.1	1.769	546	
YP_009290988.1	YP_004935762.1	6.094	1321	
YP_009290988.1	YP_004935853.1	6.828	1269	
YP_009290988.1	YP_004935855.1	1.459	529	
YP_009290988.1	YP_004956994.1	3.989	1292	
YP_009290988.1	YP_005098156.1	29.09	1764	Low atoms or high RMSD: 1764, 29.09
YP_009290988.1	YP_005098228.1	33.85	2120	Low atoms or high RMSD: 2120, 33.85
YP_009290988.1	YP_006200805.1	21.318	437	Low atoms or high RMSD: 437, 21.32
YP_009290988.1	YP_006382439.1	29.491	2345	Low atoms or high RMSD: 2345, 29.49
YP_009290988.1	YP_006383038.1	2.459	592	
YP_009290988.1	YP_006383472.1	1.658	1360	
YP_009290988.1	YP_006383629.1	3.019	947	
YP_009290988.1	YP_006488752.1	5.06	1348	
YP_009290988.1	YP_006489096.1	5.532	1263	
YP_009290988.1	YP_006546.1	4.197	1194	
YP_009290988.1	YP_006560959.1	4.421	1337	
YP_009290988.1	YP_006561179.1	4.57	1346	
YP_009290988.1	YP_006905888.1	5.641	1284	
YP_009290988.1	YP_006906042.1	6.815	1346	
YP_009290988.1	YP_006906383.1	29.69	2357	Low atoms or high RMSD: 2357, 29.69
YP_009290988.1	YP_006906417.1	6.873	1341	
YP_009290988.1	YP_006906462.1	6.937	1315	
YP_009290988.1	YP_006906509.1	6.694	1314	
YP_009290988.1	YP_006906556.1	6.616	1319	
