Order,MRCA,Leaves,Family,Family MRCA,Subfamily,Subfamily MRCA,Genus,Genus MRCA,Family_Names,Family_Source
Bolasvirales,NC_001629_NC_028692_0.467679,NC_054998,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_2,NC_001706_NC_054992_0.785912,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_001629,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_3,NC_001629_NC_054990_0.805918,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_054990,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_3,NC_001629_NC_054990_0.805918,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_001706,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_2,NC_001706_NC_054992_0.785912,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_055018,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_2,NC_001706_NC_054992_0.785912,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_054995,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_2,NC_001706_NC_054992_0.785912,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_055007,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_2,NC_001706_NC_054992_0.785912,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_054994,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_054992,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_2,NC_001706_NC_054992_0.785912,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_055014,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_5,NC_055014,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_054993,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_4,NC_054993,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_031075,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_055010,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_2,NC_001706_NC_054992_0.785912,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_031071,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_031009,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_055009,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_055004,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
