,Ackermannviridae,Aggregaviridae,Ahraviridae,Aliceevansviridae,Amentumviridae,Andrewesviridae,Aoedeviridae,Aoguangviridae,Arbalestviridae,Arberviridae,Arenbergviridae,Arquebusviridae,Arquusviridae,Assegaiviridae,Assiduviridae,Asyeviridae,Atlatlviridae,Autographiviridae,Autoscriptoviridae,Autosignataviridae,Autotranscriptaviridae,Awohaliviridae,Axehammerviridae,Ballistaviridae,Bardicheviridae,Bayonetteviridae,Bazookaviridae,Beliviridae,Blunderbussviridae,Bo-Shurikenviridae,Boinayelviridae,Bolasviridae,Bombardviridae,Boomerangviridae,Boviridae,Bowieviridae,Bradleyviridae_2,Buruviridae,Cannonballviridae,Casjensviridae,Catapultviridae,Chakramviridae,Chakriviridae,Chaseviridae,Chimalliviridae_1,Chimalliviridae_2,Chukonuviridae,Claymoreviridae,Cordeliaviridae,Crossbowviridae,Culverinviridae,Cutlassviridae,Dahviridae,Daneaxeviridae,Daoviridae,Demerecviridae,Derringerviridae,Dirkviridae,Ditsö̀viridae,Doryviridae,Dostoevskyviridae,Drexlerviridae,Druskaviridae,Duneviridae,Durandalviridae,Dynamiteviridae,Eigerviridae,Ekchuahviridae,Ekuviridae,Estocviridae,Excaliburviridae,Falchionviridae,Falconetviridae,Fauchardviridae,Fenrirviridae,Fipunaviridae,Flintlockviridae,Forsetiviridae,Fredfastierviridae,Ganjaviridae,Gatlingviridae,Gauntletviridae,Gladiusviridae,Glaiveviridae,Glockviridae,Graaviviridae,Gramrviridae,Grenadeviridae,Gridrviridae,Grimontviridae,Guarnerosviridae,Guelinviridae,Gungnirviridae,Hafunaviridae_1,Hafunaviridae_2,Halberdviridae,Hallaviridae,Haloferuviridae,Hativiridae,Herelleviridae_1,Herelleviridae_2,Herelleviridae_3,Herelleviridae_4,Howitzerviridae,Hungamungaviridae,Hwandoviridae,Iklwaviridae,Incendiarviridae,Intestiviridae,Isagelviridae,Jambiyaviridae,Jambokviridae,Javelinviridae,Jitteviridae,Kakuteviridae,Kalashnikovviridae,Kalisviridae,Kamaviridae,Kamikazeviridae,Karambitviridae,Katanaviridae,Katarviridae,KauSinKeviridae,Kestrosviridae,Khandaviridae,Khopeshviridae,Kilijviridae,Koraviridae,Koyopa'viridae,Kpingaviridae,Krisviridae,Kráľomocviridae,Kukriviridae,Kusanagiviridae,Kyanoviridae,Labrysviridae,Laevateinnviridae,Lakviridae,Lassoviridae,Leteviridae,Levantesviridae,Lightbulbviridae,Macheteviridae,Macuahuitlviridae,Makombéviridae,Makriggaviridae,Mambeleviridae,Mancatcherviridae,Mangonelviridae,Masamuneviridae,Mastikaviridae,Matchlockviridae,Mesyanzhinovviridae_1,Mesyanzhinovviridae_2,Methoneviridae,Mizrakviridae,Mjï¿½lnirviridae,Molotovviridae,Molycolviridae,Mortarviridae,Muramasaviridae,Nagamakiviridae,Nagantviridae,Naginataviridae,Naronviridae,Nerfviridae,Nightshadeviridae,Oblivionviridae,Onagerviridae,Onoviridae,Orlajensenviridae,Ortheliaviridae,Pachyviridae_1,Pachyviridae_2,Parazoniumviridae,Pataviridae,Peduoviridae,Pepperboxviridae,Phobetorviridae,Pigerviridae,Pilumviridae,Poniardviridae,Pootjesviridae,Pugioviridae,Pungoviridae,Qiangviridae,Ranseurviridae,Retiariusviridae,Rhomphaiaviridae,Ripwingviridae,Rocinanteviridae,Rountreeviridae_1,Rountreeviridae_2,Rowlingviridae,Runguviridae,Saffermanviridae,Sagarisviridae,Salasmaviridae,Sanchoviridae,Saonviridae,Sarissaviridae,Schitoviridae_1,Schitoviridae_2,Schitoviridae_3,Schitoviridae_4,Scorpionviridae,Scutumviridae,Scytheviridae,Sengeseviridae,Shinaiviridae,Shortaselviridae,Shotelviridae,Shrapnelviridae,Shuang Gouviridae,Sigsauerviridae,Sissiviridae,Skulduggeryviridae,Smithwessonviridae,Sodegaramiviridae,Stanwilliamsviridae,Steigviridae,Stilettoviridae,Straboviridae,Suolaviridae,Suoliviridae,Surtviridae,Tabarviridae,Tabarzinviridae,Tamboviridae,Tantoviridae,Tarvosviridae,Teberdaviridae,Tekkoviridae,Tepoztliviridae,Tepoztopilliviridae,Tetsuboviridae,Thunderstickviridae,Tjotjoviridae,Tomahawkviridae,Tondraviridae,Trebuchetviridae,Trisulaviridae,Trojanviridae,Uluviridae,Umbäässaviridae,Urumiviridae,Vertoviridae,Victoriapeakviridae,Vilmaviridae_1,Vilmaviridae_2,Viriatoviridae,Voulgeviridae,Wadirumviridae,Wakizashiviridae,Wangshuviridae,Winoviridae,Xiphosviridae,Yariviridae,Yataganviridae,Yumiviridae,Zarionviridae,Zierdtviridae_1,Zierdtviridae_2,Zobellviridae_1,Zobellviridae_2,Zobellviridae_3,ZweihÃ¤nderviridae
AB930182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0
AE006468,0.14,0.01,0.03,0.01,0.13,0.04,0.01,0.0,0.01,0.03,0.13,0.04,0.07,0.02,0.01,0.04,0.02,0.04,0.02,0.0,0.07,0.04,0.01,0.01,0.04,0.02,0.01,0.0,0.01,0.03,0.01,0.01,0.03,0.0,0.0,0.1,0.0,0.01,0.0,0.04,0.0,0.07,0.02,0.03,0.19,0.0,0.02,0.04,0.02,0.03,0.03,0.1,0.01,0.14,0.02,0.07,0.06,0.09,0.02,0.02,0.01,0.04,0.06,0.01,0.04,0.13,0.01,0.0,0.08,0.0,0.02,0.0,0.02,0.0,0.01,0.02,0.06,0.02,0.02,0.06,0.01,0.0,0.02,0.02,0.05,0.0,0.0,0.05,0.0,0.13,0.02,0.0,0.0,0.0,0.02,0.03,0.02,0.05,0.01,0.08,0.07,0.04,0.05,0.0,0.05,0.05,0.0,0.07,0.02,0.02,0.07,0.03,0.05,0.01,0.0,0.0,0.02,0.03,0.08,0.04,0.04,0.01,0.02,0.01,0.01,0.05,0.06,0.01,0.03,0.04,0.03,0.02,0.12,0.04,0.15,0.0,0.01,0.16,0.03,0.0,0.01,0.01,0.0,0.0,0.0,0.04,0.0,0.02,0.0,0.05,0.01,0.0,0.03,0.03,0.03,0.03,0.04,0.01,0.05,0.02,0.01,0.0,0.01,0.02,0.0,0.03,0.09,0.01,0.04,0.01,0.0,0.0,0.11,0.05,0.0,0.01,0.22,0.01,0.0,0.08,0.03,0.04,0.08,0.01,0.0,0.02,0.05,0.03,0.01,0.01,0.01,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.0,0.0,0.0,0.04,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.0,0.01,0.02,0.02,0.02,0.05,0.1,0.0,0.07,0.01,0.03,0.01,0.03,0.09,0.01,0.04,0.08,0.02,0.0,0.0,0.03,0.0,0.04,0.0,0.05,0.02,0.02,0.05,0.0,0.02,0.01,0.0,0.03,0.03,0.08,0.0,0.0,0.0,0.01,0.05,0.13,0.01,0.03,0.0,0.0,0.04,0.0,0.03,0.02,0.09,0.0,0.0,0.01
AJ604530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.02,0.03,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP018714,0.01,0.0,0.0,0.02,0.01,0.04,0.0,0.02,0.0,0.02,0.01,0.03,0.0,0.0,0.0,0.03,0.01,0.0,0.03,0.0,0.01,0.01,0.01,0.03,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.0,0.01,0.02,0.0,0.0,0.03,0.02,0.0,0.04,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.05,0.0,0.01,0.0,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.0,0.27,0.14,0.73,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.03,0.01,0.02,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.04,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.03,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0
AY247822,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.01,0.0,0.03,0.06,0.0,0.79,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.01,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.01,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.06,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.02,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AY319521,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.75,0.0,0.02,0.05,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.01,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AY576796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.08,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.04,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.01,0.0,0.01,0.01,0.04,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
BK063676,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.03,0.0,0.0,0.01,0.03,0.0,0.0,0.02,0.02,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.04,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.09,0.01,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.02,0.02,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.0,0.01,0.01,0.01,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.05,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.0,0.0,0.0,0.01,0.02,0.0,0.01,0.03,0.0,0.01,0.0,0.01,0.01,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.01,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
BK063680,0.02,0.0,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.02,0.01,0.0,0.0,0.01,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.02,0.03,0.0,0.05,0.01,0.0,0.0,0.05,0.0,0.0,0.01,0.01,0.0,0.0,0.03,0.01,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.04,0.0,0.03,0.02,0.0,0.0,0.0,0.03,0.01,0.01,0.01,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.13,0.0,0.04,0.04,0.0,0.01,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
BK068089,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
