METADATA
SEPARATOR COMMA
FIELD_LABELS,RED_scores
DATA
NC_001806|NC_048830,0.000000
NC_001806,1.000000
BK063678|NC_048830,0.262356
BK063678|NC_001902,0.235472
BK063678|NC_062738,0.312629
BK063678,1.000000
NC_062738,1.000000
BK068243|NC_001902,0.291495
BK068243|NC_074644,0.336649
BK068243,1.000000
NC_074644,1.000000
NC_001902,1.000000
NC_074641|NC_048830,0.330812
NC_074641|PP537965,0.391764
NC_074641,1.000000
PP537965,1.000000
NC_023559|NC_048830,0.315187
NC_023559|NC_023571,0.749343
NC_023559,1.000000
NC_023560|NC_023571,0.858017
NC_023560,1.000000
NC_023571,1.000000
BK063679|NC_048830,0.372779
BK063679|NC_021336,0.381624
BK063679|NC_074645,0.403235
BK063679|ON649698,0.473621
BK063679,1.000000
ON649698,1.000000
NC_052964|NC_074645,0.449689
NC_052964,1.000000
NC_074643|NC_074645,0.642494
NC_074643,1.000000
NC_074645,1.000000
NC_001423|NC_021336,0.451859
NC_001423|NC_071002,0.478275
NC_001423|NC_048661,0.537977
NC_001423|NC_048739,0.553457
NC_001423|NC_049972,0.593600
NC_001423|NC_028789,0.631574
NC_001423|NC_049976,0.769190
NC_001423|NC_049974,0.807291
NC_001423|NC_049975,0.820486
NC_001423,1.000000
NC_011048|NC_049975,0.849709
NC_011048,1.000000
NC_049965|NC_049975,0.883900
NC_049965,1.000000
NC_049975,1.000000
NC_049974,1.000000
NC_004165|NC_049976,0.859317
NC_004165,1.000000
NC_049976,1.000000
NC_049961|NC_028789,0.752446
NC_049961|NC_049960,0.783250
NC_049961,1.000000
NC_049960,1.000000
NC_028789,1.000000
NC_002649|NC_049972,0.639971
NC_002649|NC_049970,0.681761
NC_002649|NC_049973,0.771959
NC_002649,1.000000
NC_049973,1.000000
NC_049970,1.000000
NC_055917|NC_049972,0.736552
NC_055917|NC_049971,0.847813
NC_055917,1.000000
NC_049971,1.000000
NC_049972,1.000000
NC_001825|NC_048739,0.581538
NC_001825|NC_070878,0.602449
NC_001825|NC_024149,0.613399
NC_001825|NC_042114,0.920568
NC_001825,1.000000
NC_042114,1.000000
NC_004814|NC_024149,0.660620
NC_004814,1.000000
NC_048629|NC_024149,0.721425
NC_048629,1.000000
NC_024149,1.000000
NC_004678|NC_070878,0.733524
NC_004678|NC_055814,0.788396
NC_004678|NC_047788,0.799091
NC_004678|NC_055802,0.824261
NC_004678|NC_016565,0.866979
NC_004678,1.000000
NC_007046|NC_016565,0.887229
NC_007046,1.000000
NC_016565,1.000000
NC_031008|NC_055802,0.856973
NC_031008|NC_047919,0.883280
NC_031008|NC_055916,0.934657
NC_031008,1.000000
NC_055916,1.000000
NC_047855|NC_047919,0.938325
NC_047855,1.000000
NC_047919,1.000000
NC_031046|NC_055802,0.881862
NC_031046,1.000000
NC_048107|NC_055802,0.901579
NC_048107|NC_048159,0.934332
NC_048107,1.000000
NC_048159,1.000000
NC_055802,1.000000
NC_055906|NC_047788,0.819936
NC_055906,1.000000
NC_047788,1.000000
NC_055814,1.000000
NC_009875|NC_070878,0.820245
NC_009875,1.000000
NC_023550|NC_070878,0.852947
NC_023550,1.000000
NC_070878,1.000000
NC_002515|NC_048739,0.645809
NC_002515|NC_070880,0.680310
NC_002515|NC_048858,0.759902
NC_002515|NC_009643,0.770156
NC_002515|NC_048859,0.829638
NC_002515|NC_048862,0.920139
NC_002515,1.000000
NC_048862,1.000000
NC_048859,1.000000
NC_009643,1.000000
NC_048858,1.000000
NC_070879|NC_070880,0.826362
NC_070879,1.000000
NC_047813|NC_070880,0.895180
NC_047813|NC_047814,0.899700
NC_047813,1.000000
NC_047814,1.000000
NC_070880,1.000000
NC_048740|NC_048739,0.804550
NC_048740,1.000000
NC_048739,1.000000
NC_048707|NC_048661,0.597130
NC_048707|NC_048712,0.622252
NC_048707|NC_070972,0.659838
NC_048707|NC_018084,0.797623
NC_048707,1.000000
NC_017980|NC_018084,0.876320
NC_017980,1.000000
NC_018083|NC_018084,0.896631
NC_018083,1.000000
NC_018084,1.000000
NC_070972,1.000000
NC_048712,1.000000
NC_019523|NC_048661,0.773192
NC_019523|NC_048738,0.800903
NC_019523,1.000000
NC_048738,1.000000
NC_048661,1.000000
NC_049930|NC_071002,0.619714
NC_049930|NC_049931,0.743918
NC_049930,1.000000
NC_049931,1.000000
NC_049935|NC_071002,0.748363
NC_049935|NC_049933,0.782842
NC_049935|NC_049940,0.815146
NC_049935|NC_049938,0.840346
NC_049935,1.000000
NC_049936|NC_049938,0.895036
NC_049936,1.000000
NC_049937|NC_049938,0.929631
NC_049937,1.000000
NC_049938,1.000000
NC_028693|NC_049940,0.847627
NC_028693,1.000000
NC_049934|NC_049940,0.874176
NC_049934|NC_049939,0.895376
NC_049934,1.000000
NC_049939,1.000000
NC_049940,1.000000
NC_025467|NC_049933,0.837006
NC_025467|NC_055866,0.873166
NC_025467,1.000000
NC_055866,1.000000
NC_049932|NC_049933,0.863575
NC_049932,1.000000
NC_049933,1.000000
NC_071002,1.000000
NC_055905|NC_021336,0.636880
NC_055905|NC_049967,0.690487
NC_055905|NC_049966,0.788277
NC_055905,1.000000
NC_031015|NC_049966,0.797783
NC_031015|NC_049963,0.820884
NC_031015|NC_049964,0.848943
NC_031015|NC_055914,0.870782
NC_031015,1.000000
NC_049962|NC_055914,0.875107
NC_049962,1.000000
NC_055914,1.000000
NC_049964,1.000000
NC_031032|NC_049963,0.888214
NC_031032|NC_049959,0.909466
NC_031032,1.000000
NC_049959,1.000000
NC_049963,1.000000
NC_031121|NC_049966,0.831631
NC_031121,1.000000
NC_049966,1.000000
NC_049968|NC_049967,0.747339
NC_049968|NC_049969,0.834483
NC_049968,1.000000
NC_049969,1.000000
NC_049967,1.000000
NC_055908|NC_021336,0.672332
NC_055908,1.000000
NC_021336,1.000000
BK063677|NC_048830,0.385683
BK063677|NC_048125,0.395364
BK063677|NC_048637,0.451549
BK063677|NC_071008,0.547647
BK063677|NC_027372,0.442621
BK063677|NC_054955,0.543436
BK063677|NC_047972,0.665713
BK063677|NC_048665,0.445313
BK063677,1.000000
NC_019422|NC_048665,0.738709
NC_019422,1.000000
NC_028838|NC_048665,0.806361
NC_028838|NC_028951,0.816107
NC_028838,1.000000
NC_028951,1.000000
NC_029001|NC_048665,0.860927
NC_029001,1.000000
NC_029116|NC_048665,0.880926
NC_029116,1.000000
NC_048665,1.000000
NC_047972,1.000000
NC_054955,1.000000
NC_022764|NC_027372,0.808240
NC_022764|NC_028926,0.832219
NC_022764|NC_027394,0.867621
NC_022764,1.000000
NC_022770|NC_027394,0.903894
NC_022770,1.000000
NC_027394,1.000000
NC_028926,1.000000
NC_027372,1.000000
NC_071008,1.000000
NC_048756|NC_048637,0.766283
NC_048756|NC_048757,0.856253
NC_048756,1.000000
NC_048757,1.000000
NC_048637,1.000000
NC_048003|NC_048125,0.500882
NC_048003|NC_020862,0.518155
NC_048003|NC_070870,0.537046
NC_048003|NC_055823,0.554905
NC_048003|NC_070860,0.572725
NC_048003|NC_070864,0.640208
NC_048003|NC_048697,0.708026
NC_048003|NC_029017,0.714628
NC_048003,1.000000
NC_013691|NC_029017,0.906519
NC_013691,1.000000
NC_029017,1.000000
NC_070866|NC_048697,0.850239
NC_070866,1.000000
NC_048697,1.000000
NC_013692|NC_070864,0.808246
NC_013692|NC_070862,0.850507
NC_013692|NC_024140,0.856523
NC_013692|NC_070863,0.876577
NC_013692,1.000000
NC_070863,1.000000
NC_024140,1.000000
NC_070865|NC_070862,0.855305
