genome_accn,genome_name,genome_length,total_proteins,taxonomy_string
BK063677,TPA_asm: Caudoviricetes sp. vir080 genomic sequence,53200,72,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes
BK063678,TPA_asm: Caudoviricetes sp. vir249 genomic sequence,51140,67,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes
BK063679,TPA_asm: Caudoviricetes sp. vir323 genomic sequence,34179,44,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes
BK068243,"TPA_asm: Methanobrevibacter gottschalkii virus vir075, complete genome",37066,57,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes
NC_000866,"Enterobacteria phage T4, complete genome",168903,278,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Straboviridae; Tevenvirinae; Tequatrovirus; Tequatrovirus T4
NC_000871,"Streptococcus phage Sfi19, complete genome",37370,45,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Aliceevansviridae; Moineauvirus; Moineauvirus Sfi19
NC_000872,"Streptococcus phage Sfi21, complete genome",40739,50,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Aliceevansviridae; Moineauvirus; Moineauvirus Sfi21
NC_000924,"Enterobacteria phage 933W, complete genome",61670,80,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Sepvirinae; Traversvirus; Traversvirus tv933W
NC_000929,"Enterobacteria phage Mu, complete genome",36717,55,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Muvirus; Muvirus mu
NC_000935,"Acyrthosiphon pisum bacteriophage APSE-1, complete genome",36524,54,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Sendosyvirus; Sendosyvirus APSE1
NC_001271,"Yersinia phage phiYeO3-12, complete genome",39600,59,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Teetrevirus; Teetrevirus YeO312
NC_001317,"Escherichia phage 186, complete genome",30624,46,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Peduoviridae; Eganvirus; Eganvirus ev186
NC_001335,Mycobacterium phage L5 complete genome,52297,90,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fromanvirus
NC_001416,"Enterobacteria phage lambda, complete genome",48502,73,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lambdavirus; Lambdavirus lambda
